algo,task,total_runtime_no_eval,system_training,classifier_refine,feat_extract,linear_actual,nonlinear_actual,compensation_excl_feat,ade_overhead_linear,known_classes,total_classes
a1_sldc,0,140.68820214271545,110.30977177619934,4.507862329483032,22.59105157852173,0.0,0.0,3.2795164585113525,0.0,0.0,10.0
a1_sldc,1,151.2829465866089,110.86578154563904,14.109193325042725,22.992324829101562,2.6229429244995117,0.0,3.3156468868255615,0.0,10.0,20.0
a1_sldc,2,167.25524306297302,122.74886679649353,15.29023790359497,23.618643522262573,4.9452064037323,0.0,5.597494840621948,0.0030939579010009766,20.0,30.0
a1_sldc,3,170.2913360595703,122.73457527160645,16.635361433029175,22.903940439224243,7.3464515209198,0.0,8.01745891571045,0.0,30.0,40.0
a1_sldc,4,167.3837718963623,116.58417987823486,17.27113366127014,23.067305326461792,9.78265929222107,0.0,10.461153030395508,0.0,40.0,50.0
a1_sldc,5,176.30720901489258,122.02966046333313,18.494786500930786,23.00118136405945,12.090587854385376,0.0,12.781580686569214,0.03835749626159668,50.0,60.0
a1_sldc,6,182.37501192092896,124.81965756416321,19.302855014801025,23.12623119354248,14.454756259918213,0.0,15.126268148422241,0.0,60.0,70.0
a1_sldc,7,179.80496191978455,119.27836060523987,19.94417428970337,22.99065351486206,16.901483058929443,0.0,17.591773509979248,0.0,70.0,80.0
a1_sldc,8,184.77183270454407,121.87303376197815,20.316354990005493,22.893190145492554,19.009274005889893,0.0,19.68925380706787,0.05735635757446289,80.0,90.0
a1_sldc,9,193.52282691001892,125.54760074615479,23.093899250030518,23.16787099838257,21.072508573532104,0.0,21.71345591545105,0.0,90.0,100.0
seqft,0,143.9339258670807,113.64060854911804,4.535680770874023,22.493461847305298,0.0,0.0,3.264174699783325,0.0,0.0,10.0
seqft,1,141.59933519363403,113.52871966362,4.907752752304077,22.452441930770874,0.0,0.0,0.7104208469390869,0.0,10.0,20.0
seqft,2,140.98568034172058,112.61992573738098,5.30578875541687,22.386022329330444,0.0,0.0,0.6739435195922852,0.0,20.0,30.0
seqft,3,143.25775599479675,114.36142706871033,5.7045111656188965,22.497370719909668,0.0,0.0,0.6944470405578613,0.0,30.0,40.0
seqft,4,143.6827211380005,115.1461353302002,5.791334629058838,22.054759979248047,0.0,0.0,0.6904911994934082,0.0,40.0,50.0
seqft,5,146.00895357131958,116.78594946861267,6.291287183761597,22.2411847114563,0.0,0.0,0.6905322074890137,0.0,50.0,60.0
seqft,6,148.09256434440613,118.34437274932861,6.630407094955444,22.423739910125732,0.0,0.0,0.6940445899963379,0.0,60.0,70.0
seqft,7,146.39255356788635,116.22462153434753,6.881349802017212,22.59955382347107,0.0,0.0,0.6870284080505371,0.0,70.0,80.0
seqft,8,149.3362913131714,117.55611944198608,7.333341360092163,23.752713441848755,0.0,0.0,0.6941170692443848,0.0,80.0,90.0
seqft,9,148.05474519729614,117.35414481163025,7.475442171096802,22.53032374382019,0.0,0.0,0.6948344707489014,0.0,90.0,100.0
seqkd,0,142.8038465976715,112.16792607307434,4.7003607749938965,22.6582670211792,0.0,0.0,3.2772927284240723,0.0,0.0,10.0
seqkd,1,170.99659037590027,143.15117120742798,4.680931329727173,22.458897829055786,0.0,0.0,0.705590009689331,0.0,10.0,20.0
seqkd,2,174.26451706886292,146.335143327713,4.786041259765625,22.449742794036865,0.0,0.0,0.6935896873474121,0.0,20.0,30.0
seqkd,3,184.71127581596375,154.9297366142273,5.589818954467773,23.4849271774292,0.0,0.0,0.7067930698394775,0.0,30.0,40.0
seqkd,4,183.9479124546051,153.96346831321716,6.129863500595093,23.164960145950317,0.0,0.0,0.6896204948425293,0.0,40.0,50.0
seqkd,5,186.3588752746582,155.5631456375122,6.357854843139648,23.742361783981323,0.0,0.0,0.6955130100250244,0.0,50.0,60.0
seqkd,6,187.13141298294067,156.1188564300537,6.760945081710815,23.52447009086609,0.0,0.0,0.7271413803100586,0.0,60.0,70.0
seqkd,7,185.71263599395752,154.5372440814972,6.843810796737671,23.608213663101196,0.0,0.0,0.72336745262146,0.0,70.0,80.0
seqkd,8,189.0989167690277,157.26076412200928,7.282433748245239,23.81314778327942,0.0,0.0,0.7425711154937744,0.0,80.0,90.0
seqkd,9,180.50101518630981,149.89711785316467,7.361574649810791,22.533186674118042,0.0,0.0,0.7091360092163086,0.0,90.0,100.0
