task,known_classes,total_classes,system_training,classifier_refine,compensation_total,comp_feature_extract,linear_wo_aux,linear_with_aux,ade_overhead_linear,nonlinear_weak_wo_aux,nonlinear_weak_with_aux,nonlinear_mlp_wo_aux,nonlinear_mlp_with_aux,nonlinear_beta_total,linear_alpha_total,total_runtime_no_eval
0,0,10,108.40453219413757,4.172243118286133,25.49748182296753,22.201871395111084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.07425713539124
1,10,20,145.7608664035797,14.453466415405273,25.76986002922058,22.642693042755127,1.2438867092132568,1.1763339042663574,0.0,0.0,0.0,0.0,0.0,0.0,2.4202206134796143,185.98419284820557
2,20,30,157.53135538101196,15.973628759384155,29.086963176727295,23.241892337799072,2.5931947231292725,2.560835361480713,0.0,0.0,0.0,0.0,0.0,0.0,5.154030084609985,202.5919473171234
3,30,40,161.21588397026062,16.112598419189453,30.108170747756958,22.66794776916504,3.379028797149658,3.4119713306427,0.03294253349304199,0.0,0.0,0.0,0.0,0.0,6.791000127792358,207.43665313720703
4,40,50,146.27809381484985,16.284626483917236,32.033180713653564,22.3432297706604,4.507386684417725,4.524407625198364,0.01702094078063965,0.0,0.0,0.0,0.0,0.0,9.031794309616089,194.59590101242065
5,50,60,159.22180938720703,15.395635843276978,34.54064726829529,22.46382188796997,5.754398584365845,5.660363435745239,0.0,0.0,0.0,0.0,0.0,0.0,11.414762020111084,209.1580924987793
6,60,70,163.06949377059937,20.038594007492065,39.769062519073486,24.07561492919922,7.490063667297363,7.526075124740601,0.036011457443237305,0.0,0.0,0.0,0.0,0.0,15.016138792037964,222.87715029716492
7,70,80,162.7771294116974,21.611668348312378,42.30505394935608,23.895508289337158,8.874561071395874,8.866345882415771,0.0,0.0,0.0,0.0,0.0,0.0,17.740906953811646,226.69385170936584
8,80,90,155.6875660419464,21.115790367126465,41.79110598564148,23.179069995880127,8.96869683265686,8.973140716552734,0.0044438838958740234,0.0,0.0,0.0,0.0,0.0,17.941837549209595,218.59446239471436
9,90,100,158.247704744339,22.50554370880127,43.92358684539795,22.898555755615234,10.180247068405151,10.122803211212158,0.0,0.0,0.0,0.0,0.0,0.0,20.30305027961731,224.6768352985382
